"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1.29088,-27.2896,0.703565,0.831335,-7.64864,1.0983,2028.98,0.000143098,101298,0.0110914,0.05,-0.06
2,-0.442565,0.239181,-0.0403036,-6.76794,0.0607852,5.09943,5.35852e-05,101325,-0.0159159,-0.0129964,-0.06
2,-2.56281,0.0993139,-0.595964,-6.88049,0.0538188,6.69199,3.32728e-05,101322,-0.0151401,-0.0211889,-0.06
1.12785,-30.3276,0.739267,1.10257,-8.75495,1.0243,1827.98,0.000141229,101295,0.0136016,0.0452532,-0.06
1.34181,-20.4157,0.494904,1.24596,-7.87248,0.487498,838.135,7.11576e-05,101305,0.00895972,0.0403772,-0.06
1.68685,-0.826449,-0.72334,-0.214038,-6.72586,0.0970284,5.35036,0.000144894,101324,0.00195567,-0.0148087,-0.06
2,-2.23844,-0.387991,-0.197371,-6.96829,0.0718419,5.03846,8.06187e-05,101323,-0.00578097,-0.0173252,-0.06
2,-2.97496,-0.454336,-0.317657,-7.02054,0.0618735,5.89175,4.90193e-05,101322,-0.00491783,-0.0211837,-0.06
2,-42.5386,0.0142107,-0.227811,-6.21666,1.15081,1148.5,9.00911e-05,101282,-0.0485659,-0.0414242,-0.06
2,-48.3061,-0.194475,0.151656,-6.37605,1.29011,1323.74,9.87537e-05,101277,-0.05,-0.0431195,-0.06
2,0.0906815,0.314309,1.02685,-6.61405,0.0723169,8.69625,5.33834e-05,101325,-0.023608,0.00408719,-0.06
2,-0.624918,0.116069,0.643889,-6.76085,0.0907902,5.06259,0.000121463,101324,-0.0154995,0.00150032,-0.06
2,-0.881943,0.0606345,0.71834,-6.78346,0.0926982,5.30183,0.000123981,101324,-0.0156267,0.00299375,-0.06
1,-10.5397,0.116681,1.28847,-7.63599,0.231605,104.599,6.09998e-05,101314,0.0150497,0.0325904,-0.06
2,-28.059,0.333887,-2.11436,-6.66304,1.0923,841.351,0.000132284,101297,-0.0420129,-0.037607,-0.06
1,-34.9878,0.748807,2.80371,-8.35529,1.31239,804.633,0.00022725,101290,0.0396812,0.0415258,-0.06
1,-3.46222,0.863452,-0.358268,-5.51531,0.332494,127.452,4.54373e-05,101322,0.0305868,-0.0119069,-0.06
2,-22.2572,-1.64307,1.32719,-8.21656,0.153704,77.7975,4.20914e-05,101303,-0.0301937,0.0351521,-0.06
2,-18.0202,-1.26113,1.52737,-8.10838,0.0987915,34.2588,3.23693e-05,101307,-0.0309739,0.0323985,-0.06
2,-12.8771,-1.19358,0.868942,-7.79261,0.0927022,30.8816,3.61263e-05,101312,-0.02112,0.0332752,-0.06
2,-11.293,-1.07817,0.881474,-7.73942,0.0763595,18.0241,3.3567e-05,101314,-0.0206651,0.0325374,-0.06
2,-65.3447,-2.70843,-1.19949,-9.9471,2.74159,3672.24,0.000242732,101260,-0.0433378,-0.049017,-0.06
2,-68.3215,-2.56957,0.736395,-9.15838,2.40136,3486.07,0.000188045,101257,-0.0471419,-0.05,-0.06
2,-60.5651,-2.74957,-1.46395,-9.83735,2.87178,3947.47,0.000252467,101264,-0.0426487,-0.05,-0.06
2,-1.91338,-0.527147,1.79727,-5.29441,0.173773,87.4409,4.68805e-05,101323,-0.0375157,-0.00074111,-0.06
2,2.5619,0.149435,1.42089,-5.65027,0.0747584,16.2585,3.18512e-05,101328,-0.0306906,0.00127477,-0.06
1,-7.40995,0.430534,2.0933,-6.54624,0.395657,165.147,0.000109366,101318,0.0392003,0.0187179,-0.06
1,-7.19188,0.428139,2.06634,-6.53299,0.411313,173.362,0.00011251,101318,0.0399617,0.0185878,-0.06
1,-7.35651,0.424092,2.09524,-6.55054,0.425029,183.587,0.00011389,101318,0.0399271,0.0195176,-0.06
2,-1.12227,0.203652,1.04058,-6.76362,0.0743303,7.19929,6.491e-05,101324,-0.0217092,0.00816049,-0.06
2,-0.867259,0.156889,1.09929,-6.71536,0.0797228,12.1274,5.0786e-05,101324,-0.0254933,0.00675431,-0.06
1,-33.1453,0.710192,2.81707,-8.24679,1.28982,773.647,0.000226287,101292,0.0394998,0.0413331,-0.06
1,-27.5864,0.632739,2.84511,-8.01199,0.943001,540.249,0.000176165,101297,0.0385129,0.0381217,-0.06
1,-33.8647,0.73793,2.81662,-8.28588,1.29759,782.769,0.000226873,101291,0.0395779,0.0414229,-0.06
1,-47.4006,1.005,-2.7805,-5.9572,8.83392,15186.6,0.00108407,101278,0.0392964,-0.039517,-0.06
1,-40.1773,0.71364,-2.09541,-6.19679,7.09731,11404.8,0.000932725,101285,0.0356031,-0.0383108,-0.06
1,-47.2916,1.01594,-2.77605,-5.95054,8.90898,15324.7,0.00109005,101278,0.0392134,-0.039598,-0.06
1.5861,-0.165876,-0.813338,-0.167851,-6.63409,0.108824,5.22072,0.000176858,101325,0.00424749,-0.012637,-0.06
1.59024,-0.19029,-0.805896,-0.173848,-6.63493,0.10827,5.19774,0.000175348,101325,0.00415352,-0.0127877,-0.06
1.57863,-0.174425,-0.815501,-0.173899,-6.63237,0.108536,5.21701,0.000175781,101325,0.00433963,-0.0127756,-0.06
1,-48.8495,1.03171,-2.81293,-6.02921,9.07015,15785.3,0.00109823,101276,0.0394094,-0.0396186,-0.06
1.91113,-17.4665,-0.345396,-0.899642,-7.4624,0.32082,159.294,8.17499e-05,101308,-0.00560367,-0.0407454,-0.06
1.91887,-18.8827,0.241649,-0.352672,-6.72062,0.366464,196.519,8.68552e-05,101306,-0.00249882,-0.0440702,-0.06
1.88669,-16.9416,-0.454483,-0.766608,-6.94746,0.259544,115.043,7.03001e-05,101308,-0.00144745,-0.0403611,-0.06
