"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1,1.70345,-0.272993,-0.0635753,-5.63711,0.299266,105.11,0.000256002,101327,-0.030432,-0.0122224,-0.06
1,0.995533,-0.269104,-0.194884,-5.53231,0.389499,39.448,0.00122491,101326,-0.0205176,-0.0155002,-0.06
3.14309,0.365354,-0.0247944,0.211843,-6.18986,0.496817,8.7043,0.00523909,101325,0.000525953,0.0176701,-0.06
3.25896,0.889324,-0.0273444,0.258922,-5.89525,0.392931,16.3911,0.00193445,101326,0.00318349,0.0217669,-0.06
3,0.511415,-0.0695751,0.242065,-6.0443,0.450682,11.2056,0.00303134,101326,-0.00218939,0.0203883,-0.06
1.27475,1.69936,0.063979,0.0651628,-7.14707,0.24004,72.6187,7.93418e-05,101327,-0.0120324,-0.0406925,-0.06
1.25766,1.65232,0.0771179,0.0634752,-7.18168,0.240116,72.4471,8.17335e-05,101327,-0.0128377,-0.0414986,-0.06
2,1.72962,-0.124909,0.169003,-8.02494,0.280696,67.0288,0.000128799,101327,0.0409938,-0.037679,-0.06
1.64655,2.2934,0.0404504,-0.0195316,-6.89382,0.184942,63.8367,5.72412e-05,101327,-0.0423388,0.00351577,-0.06
1.8544,2.31232,0.0403829,-0.0363693,-6.74642,0.179568,62.5117,5.33932e-05,101327,-0.0408491,0.00462959,-0.06
1.84291,2.44921,0.0521817,-0.0441161,-6.81175,0.182177,64.3999,5.38182e-05,101327,-0.0426767,0.00489806,-0.06
2,2.29825,-0.0867859,0.0872308,-7.37131,0.377889,127.164,0.000106757,101327,0.05,-0.04258,-0.06
1,1.64957,-0.117205,-0.192654,-6.83183,0.239383,134.089,4.25324e-05,101327,-0.049024,-0.0490218,-0.06
1,1.49758,-0.16045,-0.0905186,-6.91756,0.238521,128.151,4.34938e-05,101326,-0.0471419,-0.05,-0.06
1,1.10988,-0.0546709,0.121096,-7.33099,0.239467,104.117,5.76086e-05,101326,-0.043225,-0.0485114,-0.06
