"parallel_domain","Pressure","Velocity:0","Velocity:1","Velocity:2","TurbEner","Dissip","TurbVisc","total_pressure","Points:0","Points:1","Points:2"
1,4.45316e+16,9.97589e+07,4.25726e+07,-4.0328e+08,1.25302e+14,1.11197e+19,50939.6,4.45316e+16,-0.022417,-0.0195536,-0.06
1.0034,-3.88324e+17,-4.52841e+08,1.02571e+08,-1.12123e+09,1.89157e+17,2.49111e+23,306203,-3.88324e+17,-0.00824057,-0.0402817,-0.06
1,4.25308e+16,6.69836e+07,-7.17422e+07,-3.04817e+08,1.32501e+15,7.61124e+20,59028.3,4.25308e+16,-0.0154749,-0.0116565,-0.06
1.18158,5.78736e+16,3.63023e+07,-6.06587e+07,-2.00197e+08,3.75667e+15,2.68898e+21,252880,5.78736e+16,-0.0125723,-0.0051009,-0.06
1.2253,6.527e+16,2.81892e+07,-6.45667e+07,-1.66447e+08,4.10581e+15,2.91885e+21,316856,6.527e+16,-0.0133192,-0.00297167,-0.06
1,5.37434e+16,6.47836e+07,-9.16579e+07,-2.78886e+08,6.09463e+14,5.17051e+19,111434,5.37434e+16,-0.0198529,-0.00998797,-0.06
1.56323,5.53137e+16,-4.30645e+06,9.25571e+06,-6.06609e+07,3.6796e+14,2.05833e+19,1.20217e+06,5.53137e+16,-0.0438362,0.00277441,-0.06
1.69214,6.92244e+15,3.8493e+07,2.82992e+07,-1.5337e+08,9.43632e+15,1.33948e+22,1.68657e+06,6.92244e+15,-0.00565854,-0.0161209,-0.06
2.11286,-1.59613e+15,3.78799e+06,5.93524e+07,-5.72696e+07,1.51451e+16,2.14316e+22,2.55958e+06,-1.59613e+15,-0.00154559,-0.0132305,-0.06
1.78961,7.54804e+15,2.24319e+07,2.77725e+07,-1.37113e+08,1.07695e+16,1.50919e+22,1.93266e+06,7.54804e+15,-0.00500648,-0.0127593,-0.06
1,1.05714e+17,-3.74617e+07,3.19781e+07,-4.90678e+08,2.77694e+13,1.35596e+19,166.12,1.05714e+17,-0.0451667,-0.0451111,-0.06
1,9.36907e+16,-5.90917e+07,5.76629e+07,-5.36977e+08,3.30546e+13,1.95016e+19,202.314,9.36907e+16,-0.0406983,-0.0409715,-0.06
1,9.61356e+16,-2.30824e+07,4.20294e+07,-4.68363e+08,1.59567e+13,6.8467e+18,126.649,9.61356e+16,-0.0487729,-0.0439318,-0.06
3,-6.36275e+18,-3.00266e+08,7.57743e+06,-7.15556e+08,6.15121e+16,2.62723e+26,1.93856e+08,-6.36275e+18,0.0326729,-0.05,-0.06
3,-2.26694e+18,-1.84647e+08,9.14975e+06,-7.33153e+08,4.81808e+16,3.51833e+26,2.14957e+08,-2.26694e+18,0.0408045,-0.05,-0.06
3,-5.38355e+17,-1.39135e+08,2.68141e+07,-4.16955e+08,6.88376e+16,1.86985e+26,2.97596e+08,-5.38355e+17,0.0384453,-0.0412705,-0.06
4,-9.34549e+17,2.68901e+08,-7.28462e+08,1.55879e+09,5.37534e+17,5.93545e+24,41251.4,-9.34549e+17,0.0493154,0.0234067,-0.06
4,-8.33562e+17,2.25711e+08,-6.85661e+08,1.53105e+09,4.92169e+17,5.64623e+24,33032.3,-8.33562e+17,0.0466578,0.0247541,-0.06
